score,params,iterations
0.9978896842037356,"{'eta': 0.1828493836673766, 'lambda': 0.1702027687822156, 'alpha': 0.14483880465332705, 'gamma': 15.652846075676177, 'max_depth': 9, 'subsample': 0.7151035625775805, 'colsample_bytree': 0.5269648634063737, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 1.0280233270681445}",19
0.9985261717146099,"{'eta': 0.3577296217325374, 'lambda': 0.01685280548211474, 'alpha': 0.14271249873213956, 'gamma': 1.1145594491503652, 'max_depth': 14, 'subsample': 0.7075500307287055, 'colsample_bytree': 0.9224620985737689, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 1.1020700857683106}",20
0.9978537268590568,"{'eta': 0.5503854418035534, 'lambda': 0.05840933852013047, 'alpha': 0.08065536724192439, 'gamma': 17.845311115812752, 'max_depth': 14, 'subsample': 0.8852991733714591, 'colsample_bytree': 0.8852822033195276, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 0.9364380706730594}",21
0.9979384395405703,"{'eta': 0.25034137227461667, 'lambda': 0.03140284733806716, 'alpha': 0.19911344172584214, 'gamma': 17.322123295808108, 'max_depth': 14, 'subsample': 0.6468750457085859, 'colsample_bytree': 0.875431091713277, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 1.0054151383075627}",22
0.9979911057079536,"{'eta': 0.29846604231547735, 'lambda': 0.13524078431778888, 'alpha': 0.0934754765049674, 'gamma': 15.693329119756251, 'max_depth': 12, 'subsample': 0.7797933837409894, 'colsample_bytree': 0.6837310805070576, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 0.9697474099139785}",23
0.9980238063661945,"{'eta': 0.05447221828684948, 'lambda': 0.16304995604425038, 'alpha': 0.15957746793826186, 'gamma': 8.114899383658912, 'max_depth': 5, 'subsample': 0.663668719893244, 'colsample_bytree': 0.7010008831013571, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 0.8895838125367638}",24
0.9981898626029807,"{'eta': 0.17267239411060192, 'lambda': 0.09178925712949718, 'alpha': 0.1758527420780872, 'gamma': 1.0280289578384338, 'max_depth': 5, 'subsample': 0.6083668908452338, 'colsample_bytree': 0.711346029835005, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 0.9179045372312205}",25
0.997955310283692,"{'eta': 0.20497596289136275, 'lambda': 0.11314188674223566, 'alpha': 0.0176706181406297, 'gamma': 17.525976180768748, 'max_depth': 10, 'subsample': 0.9730522452755936, 'colsample_bytree': 0.8364416114271865, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 0.8937291470559906}",26
0.9981064613491547,"{'eta': 0.28282852134448466, 'lambda': 0.18535397116823085, 'alpha': 0.07443777516175117, 'gamma': 3.3571503746080267, 'max_depth': 5, 'subsample': 0.971913527043917, 'colsample_bytree': 0.993158671361607, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 0.9321660514175872}",27
0.9982481162431066,"{'eta': 0.17733112168733667, 'lambda': 0.13835491380977652, 'alpha': 0.077754712379171, 'gamma': 4.965408518453263, 'max_depth': 7, 'subsample': 0.7590824467200792, 'colsample_bytree': 0.9365232706478092, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 0.9269580647802182}",28
